200922-949-52	\sqrt { \gamma }
formulaire037-equation031	\frac { 2 \pi } { 4 5 }
TrainData2_7_sub_9	\sqrt { b ^ { 2 } - 4 a c }
formulaire034-equation033	( n - 2 ) \times ( n - 2 )
MfrDB3053	\int \limits _ { a } ^ { a } f ( x ) d x = 0
200925-1126-93	- B + \int \pi d j
MfrDB1555	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
formulaire017-equation018	r \sin \theta
90_alfonso	y = r \sin \theta
MfrDB2012	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
MfrDB3414	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )
2009210-947-148	- E _ { q } - \cdots + P E
KME2G3_17_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
KME2G3_30_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
MfrDB3417	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
2009213-137-136	\sqrt { m - h + I }
200923-1254-140	\sum \limits _ { \mu > A } P
200926-131-199	\sqrt { I } ^ { [ 7 ] } ( R ^ { j } )
200926-1617-38	\frac { 4 } { 3 } \pi r ^ { 3 }
200923-1556-152	\frac { \alpha } { y }
200922-947-73	a ^ { b ^ { c ^ { d } } }
200923-1553-60	\frac { \beta + \gamma } { \theta }
200923-1556-227	\cdots + C \neq V
200922-947-7	\sum \limits _ { m } f ( m + 3 )
MfrDB2865	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
MfrDB2839	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
formulaire002-equation036	\theta \rightarrow - \theta
formulaire016-equation023	\beta = \cos ( \theta )
200923-1254-104	\sum 3 - \int B d V
MfrDB2382	x ^ { y } - y ^ { x }
200926-1617-80	e ^ { \int x ^ { 2 } d x }
formulaire014-equation026	\beta _ { n + 1 } = \beta _ { n }
200924-1312-56	2 \alpha + 3 \sqrt { \beta }
formulaire009-equation052	k \rightarrow \infty
200922-1017-68	\tan ( \frac { \pi } { 2 } ) = \infty
2009213-137-152	\frac { n } { \frac { \phi } { s } }
200923-1251-80	e ^ { \int x ^ { 2 } d x }
KME2G3_22_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
MfrDB2840	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
MfrDB3059	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
65_leo	x = r \cos \theta
MfrDB3497	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )
200924-1331-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
KME2G3_20_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
TrainData2_10_sub_20	a + b + c + d + e
formulaire038-equation056	\beta ^ { y } = \beta ^ { z } = 0
2009213-137-245	\frac { M } { \frac { H } { y } }
formulaire005-equation044	\frac { \alpha } { p ( p + \alpha ) }
KME2G3_4_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
MfrDB3327	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
200923-1251-43	\frac { \pi r ^ { 2 } h } { 3 }
formulaire027-equation071	\frac { 1 } { 2 } ( 1 \pm i )
200922-1017-110	- H + P _ { \mu } < \theta
200923-1251-7	\sum \limits _ { m } f ( m + 3 )
MfrDB0017	\int \limits _ { a } ^ { b } f ( x ) d x
200923-131-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
MfrDB1558	\log 5 + \log 4 x = 2
200922-947-67	\tan ( \frac { \pi } { 4 } ) = 1
MfrDB2872	( 1 + x ) ^ { r } \geq 1 + r x
MfrDB1775	\frac { 2 ^ { 5 } } { 3 + 1 }
200923-1253-41	\sum \limits _ { R \geq H } B
200926-1550-7	\sum \limits _ { m } f ( m + 3 )
200923-131-313	\int q d \sigma + a ^ { q }
200923-1254-67	\tan ( \frac { \pi } { 4 } ) = 1
KME2G3_12_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
MfrDB1680	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )
200922-949-118	\frac { - g - Y } { u j }
KME2G3_16_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
TrainData1_1_sub_3	x ^ { 2 } + y ^ { 2 } < 1
MfrDB1551	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
90_leo	y = r \sin \theta
200922-1017-7	\sum \limits _ { m } f ( m + 3 )
MfrDB2078	\frac { 2 ^ { 5 } } { 3 + 1 }
2009213-137-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
formulaire015-equation053	x = - \sqrt { y - 3 }
KME2G3_28_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
MfrDB2419	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
MfrDB3867	v = a \cdot b \cdot c
200923-1253-183	\sqrt { \sum b + \phi }
200926-131-4	\sum \sqrt { - L - u - i }
2009213-137-73	a ^ { b ^ { c ^ { d } } }
2009213-137-248	\int \limits _ { w } ^ { T m } F d P
MfrDB1751	\frac { 2 ^ { 5 } } { 3 + 1 }
200922-1017-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
formulaire015-equation013	2 ^ { n } \times 2 ^ { n }
MfrDB2882	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
formulaire006-equation013	1 - ( - 1 ) ^ { d }
formulaire014-equation008	d _ { x ^ { 2 } - y ^ { 2 } }
formulaire018-equation061	\alpha + \gamma = \beta
TrainData2_5_sub_9	\sqrt { b ^ { 2 } - 4 a c }
formulaire005-equation014	X \rightarrow p \rightarrow q
200922-949-67	\tan ( \frac { \pi } { 4 } ) = 1
200923-1556-217	3 . 1 \geq \int s d c
TrainData2_9_sub_9	\sqrt { b ^ { 2 } - 4 a c }
KME2G3_18_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200924-1331-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
200925-1126-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
200923-1254-73	a ^ { b ^ { c ^ { d } } }
200922-949-183	n < \int \sqrt { z } d d
200926-1550-158	\cdots + h \neq S _ { \phi }
MfrDB1894	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
formulaire001-equation059	h ( t ) = \frac { 1 } { \pi t }
200923-1556-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
MfrDB3396	V = a \cdot b \cdot c
2009212-952-60	\frac { \beta + \gamma } { \theta }
2009212-952-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
90_leissi	y = r \sin \theta
MfrDB1899	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
2009212-952-7	\sum \limits _ { m } f ( m + 3 )
MfrDB0108	\frac { a } { b } \cdot \frac { b } { a } = 1
MfrDB2300	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
200926-131-233	\frac { p } { N } + \int \theta d C
TrainData2_25_sub_9	\sqrt { b ^ { 2 } - 4 a c }
MfrDB3395	( 1 + x ) ^ { r } \geq 1 + r x
formulaire008-equation072	Y ^ { p } - X ^ { p }
MfrDB3906	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )
MfrDB2871	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
MfrDB3121	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
200923-1556-208	2 \geq \int w d V
2009212-1031-70	L \sum \limits _ { m > S } \sigma
200926-131-15	\cdots + f ^ { j } ( j )
TrainData2_17_sub_9	\sqrt { b ^ { 2 } - 4 a c }
formulaire027-equation073	\gamma ^ { 0 } = \beta
200923-1553-123	\sqrt { \cdots - k - H }
200923-1254-224	- T - T - M
MfrDB3828	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
2009220-1327-70	\cos \sqrt { \beta } ^ { M }
formulaire007-equation059	t = k \sqrt { \frac { m } { q } }
MfrDB2013	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
2009210-947-37	1 3 + \pi r ^ { 2 }
formulaire033-equation021	\beta _ { n } + i \gamma _ { n }
200923-1556-67	\tan ( \frac { \pi } { 4 } ) = 1
TrainData2_7_sub_20	a + b + c + d + e
200923-1556-56	2 \alpha + 3 \sqrt { \beta }
formulaire014-equation043	k _ { 1 } = \sqrt { \frac { 2 } { 3 } }
MfrDB1560	2 \log ( x - 3 ) = \log ( 5 - x )
8_em_65	\forall i \in I
2009213-137-80	e ^ { \int x ^ { 2 } d x }
formulaire001-equation029	r , \theta , \phi , t
MfrDB1559	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
2009213-139-80	e ^ { \int x ^ { 2 } d x }
200926-1617-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
200923-1253-77	\sum \limits _ { I \geq j } C - g
MfrDB3074	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
200924-1331-14	a + \sqrt { \frac { b + c } { d + f } }
MfrDB2827	f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 )
200923-1253-110	\sqrt { V + z } ^ { C }
KME2G3_2_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB0574	\sqrt { ( 1 + 5 \times 1 2 ) }
MfrDB1697	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
90_daniel	y = r \sin \theta
formulaire025-equation061	- a - b \sqrt { 2 }
MfrDB2274	\frac { 2 ^ { 5 } } { 3 + 1 }
200924-1312-144	\frac { n } { \sqrt { Y } }
MfrDB2491	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )
MfrDB1270	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
200923-1556-16	\frac { H ( f ) } { T \mu }
90_Nina	y = r \sin \theta
MfrDB2010	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
200922-947-37	1 3 + \pi r ^ { 2 }
MfrDB0320	x ^ { 2 } \times y ^ { 2 }
MfrDB0048	a ^ { 2 } - b ^ { 2 } = ( a + b ) ( a - b )
MfrDB3107	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
200923-1251-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
MfrDB2935	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
TrainData2_3_sub_9	\sqrt { b ^ { 2 } - 4 a c }
2009213-139-150	z ^ { \cdots - h }
KME2G3_2_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200926-1617-7	\sum \limits _ { m } f ( m + 3 )
200926-1550-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
200924-1331-7	\sum \limits _ { m } f ( m + 3 )
MfrDB2898	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
MfrDB1937	x ^ { 2 } - x - 6 < 0
200925-1126-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
formulaire031-equation030	6 8 \pm 1 7 1 \div 1 3 3
MfrDB2202	| a - b | \leq | a - c | + | c - b |
MfrDB3464	f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 )
formulaire005-equation033	\sum \frac { f ( n ) } { n ^ { s } }
65_Nina	x = r \cos \theta
MfrDB1960	\int \limits _ { a } ^ { a } f ( x ) d x = 0
2009213-137-176	\cdots + C ^ { z }
formulaire013-equation034	\forall x \in X
2009220-1327-73	a ^ { b ^ { c ^ { d } } }
200924-1331-63	o _ { \sigma } \frac { e + i } { C }
200922-949-60	\frac { \beta + \gamma } { \theta }
200923-1556-205	\frac { \int B d j } { g - j }
TrainData2_21_sub_20	a + b + c + d + e
MfrDB1848	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
200924-1312-38	\frac { 4 } { 3 } \pi r ^ { 3 }
106_edwin	y ^ { 4 } + y + 1 = 0
MfrDB3209	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
MfrDB2372	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
200924-1312-146	\cdots + \frac { t } { y }
200926-131-7	\sum \limits _ { m } f ( m + 3 )
65_edwin	x = r \cos \theta
200922-949-90	\sum \limits _ { z \geq F } c
formulaire027-equation056	\alpha + 0 = \alpha
200924-1312-60	\frac { \beta + \gamma } { \theta }
TrainData2_6_sub_9	\sqrt { b ^ { 2 } - 4 a c }
200923-1251-14	a + \sqrt { \frac { b + c } { d + f } }
TrainData2_22_sub_9	\sqrt { b ^ { 2 } - 4 a c }
200925-1126-182	\tan ^ { n } X ^ { L + q }
200924-1312-108	\cdots + \cdots + g
formulaire024-equation066	2 \pm \sqrt { 2 }
90_carlos	y = r \sin \theta
200923-1553-111	\int \cos V d \lambda _ { A }
formulaire017-equation048	a ^ { n } - b ^ { n }
formulaire009-equation018	\sin ( \pi z )
formulaire006-equation028	\sqrt { 2 + \sqrt { 2 } }
200925-1126-14	a + \sqrt { \frac { b + c } { d + f } }
200923-1553-43	\frac { \pi r ^ { 2 } h } { 3 }
200926-1550-146	\int \limits _ { \frac { h } { 3 } } ^ { d } \sum H d q
TrainData2_18_sub_20	a + b + c + d + e
MfrDB2520	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
200924-1312-73	a ^ { b ^ { c ^ { d } } }
106_rosario	y ^ { 4 } + y + 1 = 0
MfrDB3567	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
TrainData2_15_sub_20	a + b + c + d + e
200923-1251-268	\frac { P V - \alpha } { 6 . 1 }
200926-1617-60	\frac { \beta + \gamma } { \theta }
200923-131-206	\sum \limits _ { h > \pi } I - q
formulaire030-equation018	- \frac { 1 } { r ^ { 2 } }
MfrDB2828	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
KME2G3_13_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
2009213-139-109	\theta \leq f + \frac { \beta } { 7 }
formulaire021-equation064	j ^ { 2 } = - 1 - j
65_herbert	x = r \cos \theta
MfrDB1905	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
formulaire021-equation042	d ^ { 2 } p q ( p ^ { 2 } - q ^ { 2 } )
MfrDB1907	2 \log ( x - 3 ) = \log ( 5 - x )
formulaire038-equation068	\frac { 1 + \sqrt { 5 } } { 2 }
MfrDB1623	( 2 - a ) ^ { ( b + a ) }
200923-1254-80	e ^ { \int x ^ { 2 } d x }
MfrDB2014	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
200926-1617-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
MfrDB1908	2 ^ { x + 1 } - 2 ^ { x } = 1 6
MfrDB1748	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
formulaire017-equation026	\frac { 1 } { 2 } ( 3 x ^ { 2 } - 1 )
MfrDB3561	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
MfrDB1624	( 2 - a ) ^ { ( 3 - b ) ^ { c } }
MfrDB1325	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
KME2G3_14_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200922-1017-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
200924-1331-267	\sum \cdots + d
KME2G3_5_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200922-1017-73	a ^ { b ^ { c ^ { d } } }
65_jorge	x = r \cos \theta
2009213-137-68	\tan ( \frac { \pi } { 2 } ) = \infty
200926-131-190	\frac { i } { G } \sum \pi
formulaire003-equation073	2 ^ { 5 } + 2 + 1
TrainData2_16_sub_20	a + b + c + d + e
formulaire006-equation071	d g _ { \beta } = d g _ { \alpha }
KME2G3_6_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
2009212-952-80	e ^ { \int x ^ { 2 } d x }
200922-1017-144	\int \limits _ { \sqrt { L } } ^ { H } \frac { z } { z } d N
MfrDB2009	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
2009212-1031-13	\int \limits _ { z o } ^ { n } p - B d d
MfrDB0237	e ^ { i \pi } + 1 = 0
formulaire018-equation006	r = \alpha ( \theta )
200922-947-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
200924-1312-29	q _ { a } ^ { d + I } ( \pi )
200923-1556-7	\sum \limits _ { m } f ( m + 3 )
200923-1254-173	\sqrt { - t - o + h }
200922-947-209	k - 7 . 9 \geq \sum 7
KME2G3_3_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200925-1126-157	\frac { H - [ x ] } { I ^ { G } ( N ) }
MfrDB2116	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
2009213-139-161	\frac { - l + k } { 3 }
2009213-137-130	\sum \limits _ { C > h } E
KME2G3_24_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200926-131-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
2009213-137-29	\frac { 6 - \beta } { N }
formulaire010-equation063	( X ^ { 3 } - 1 ) ^ { 2 } = 2
90_herbert	y = r \sin \theta
MfrDB0021	\frac { 1 + 2 } { 3 + 4 }
TrainData2_11_sub_9	\sqrt { b ^ { 2 } - 4 a c }
200923-131-67	\tan ( \frac { \pi } { 4 } ) = 1
formulaire012-equation048	6 \times 6 = 4 \times 9
MfrDB0097	( - 1 ) ^ { \frac { p - 1 } { 2 } } = 1
TrainData2_24_sub_9	\sqrt { b ^ { 2 } - 4 a c }
MfrDB3545	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
200923-1254-336	\int \limits _ { H } ^ { v } - m d z
200923-1553-14	a + \sqrt { \frac { b + c } { d + f } }
200926-1550-14	a + \sqrt { \frac { b + c } { d + f } }
MfrDB1710	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
200923-131-56	2 \alpha + 3 \sqrt { \beta }
MfrDB1634	f ( x ) = ( x - 1 ) ^ { p } \cdot x
formulaire029-equation028	( \sqrt { 5 } ) ^ { 3 } + ( \sqrt { 2 } ) ^ { 3 }
200922-1017-80	e ^ { \int x ^ { 2 } d x }
200924-1312-67	\tan ( \frac { \pi } { 4 } ) = 1
KME2G3_0_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200922-947-11	\frac { S } { G } \sum P
MfrDB0030	\frac { \sqrt { 2 1 } - \sqrt { 5 } } { \sqrt { 7 } }
200922-949-235	\sum \limits _ { P = p } ^ { \sum 1 } k
2009220-1327-7	\sum \limits _ { m } f ( m + 3 )
200922-949-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
2009213-139-11	[ \sum h ] < \sum b + n
MfrDB3199	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
65_caue	x = r \cos \theta
MfrDB2206	x ^ { 2 } - x - 6 < 0
2009213-139-15	\sum \limits _ { n \geq w } j
MfrDB3086	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
KME1G3_9_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
2009212-952-68	\tan ( \frac { \pi } { 2 } ) = \infty
formulaire027-equation051	\cos ^ { 2 } \theta _ { 1 }
106_alfonso	y ^ { 4 } + y + 1 = 0
TrainData2_0_sub_20	a + b + c + d + e
MfrDB1578	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
MfrDB1565	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
MfrDB3258	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
MfrDB2424	\int \limits _ { a } ^ { a } f ( x ) d x = 0
2009220-1327-68	\tan ( \frac { \pi } { 2 } ) = \infty
200926-1617-198	\sum \limits _ { N \geq m } Y
200922-1017-37	1 3 + \pi r ^ { 2 }
90_edwin	y = r \sin \theta
MfrDB1689	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
KME2G3_24_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200922-949-119	- \sum \limits _ { 8 \geq d } \sqrt { x }
200926-131-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
formulaire002-equation060	( 1 3 9 - 5 2 ) / 1 7 2 \leq 1
200926-131-14	a + \sqrt { \frac { b + c } { d + f } }
MfrDB2914	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
formulaire014-equation051	n \sin \alpha
65_Fabricio	x = r \cos \theta
TrainData2_14_sub_20	a + b + c + d + e
200923-1253-37	1 3 + \pi r ^ { 2 }
MfrDB3373	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
MfrDB1784	V = a \cdot b \cdot c
MfrDB2832	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
200923-1251-158	3 \sum \limits _ { k \geq \beta } B
200923-1253-73	a ^ { b ^ { c ^ { d } } }
formulaire036-equation040	1 1 6 \pm ( 1 1 4 \div 1 9 6 ) - 1 9
MfrDB2006	x ^ { 2 } - x - 6 < 0
formulaire030-equation016	k ^ { n + 1 } - 0
90_user0	y = r \sin \theta
KME2G3_21_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200923-1553-107	E \lambda - \sum I
MfrDB1651	\frac { 1 } { 2 } + 4 = \frac { 5 } { 2 }
TrainData2_14_sub_9	\sqrt { b ^ { 2 } - 4 a c }
MfrDB3257	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
formulaire034-equation035	1 1 7 \pm 8 5 \div 1 0 9
MfrDB3061	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
2009212-952-38	\frac { 4 } { 3 } \pi r ^ { 3 }
formulaire001-equation052	p = \frac { 1 } { \theta + 1 }
200922-1017-135	- h - \frac { E } { x }
200922-947-144	\frac { h + 8 } { P - \phi }
KME2G3_19_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200923-1556-60	\frac { \beta + \gamma } { \theta }
MfrDB2121	\int \limits _ { a } ^ { a } f ( x ) d x = 0
90_jorge	y = r \sin \theta
MfrDB2396	( y - 3 ) ( y + 3 ) + ( y + 3 ) = 0
MfrDB2210	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
200923-131-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
MfrDB1801	\frac { 2 ^ { 5 } } { 3 + 1 }
200923-131-134	\sum 4 - \int E d V
200925-1126-200	\int \sin ^ { f } i d R _ { H }
200926-1617-43	\frac { \pi r ^ { 2 } h } { 3 }
200924-1331-73	\sqrt { \phi ( w ) } ^ { s + B } q _ { u }
200926-1550-114	\frac { i + h } { j ^ { \lambda } }
formulaire006-equation049	x \times ( - \infty )
200926-1617-237	- j + \sqrt { z }
MfrDB1457	\log 5 + \log 4 x = 2
200925-1126-67	\tan ( \frac { \pi } { 4 } ) = 1
formulaire014-equation058	( 1 + \frac { \theta _ { 0 } ^ { 2 } } { 1 6 } )
200922-949-37	1 3 + \pi r ^ { 2 }
200922-949-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
200923-1251-69	3 . 6 \sum t + P - A
MfrDB1231	\frac { 2 ^ { 5 } } { 3 + 1 }
200926-1550-43	\frac { \pi r ^ { 2 } h } { 3 }
MfrDB3311	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
formulaire022-equation019	( \pi _ { 1 } , \ldots , \pi _ { g } )
200925-1126-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
MfrDB2090	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
200923-1253-275	\sum \limits _ { u \geq c } G
200922-949-104	\frac { v + 1 } { - h }
200925-1126-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
KME2G3_11_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200923-131-248	T ^ { d + v } [ \mu ]
65_mijail	x = r \cos \theta
MfrDB3067	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
200924-1331-37	1 3 + \pi r ^ { 2 }
MfrDB1988	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
200923-1254-37	1 3 + \pi r ^ { 2 }
106_user0	y ^ { 4 } + y + 1 = 0
formulaire015-equation061	x ^ { \frac { 1 } { 2 } ( 1 + \frac { 1 } { 2 ^ { 2 } } ) }
formulaire030-equation006	\gamma = \frac { 7 } { 5 }
200923-1253-109	\sqrt { R } ^ { b + l } ( \sigma )
MfrDB3509	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
KME2G3_17_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
90_mijail	y = r \sin \theta
MfrDB1957	\int \cos t d t = \sin t
65_maira	x = r \cos \theta
TrainData2_22_sub_20	a + b + c + d + e
MfrDB2503	2 ^ { x + 1 } - 2 x = 1 6
formulaire039-equation063	( x ^ { 2 } + 1 ) \sin ( x )
formulaire005-equation060	3 2 \pm 1 2 \times 1 5
MfrDB0057	| \frac { f ( h ) - f ( 0 ) } { h } | = | h \cdot \sin \frac { 1 } { h } |
MfrDB1632	k ^ { 2 } \geq \sqrt { p + 3 }
2009210-947-235	w a \leq \sum S
formulaire029-equation066	f ( z ) = ( 1 + z ^ { 2 } ) ^ { - 1 }
MfrDB2897	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
KME1G3_10_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
TrainData1_3_sub_5	e ^ { i \pi } + 1 = 0
MfrDB2350	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
200923-1553-154	( i - N ) ^ { f + [ P ] }
formulaire037-equation005	1 \times 9 7 \geq 9 6
MfrDB2844	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire016-equation061	\alpha b + \beta = 0
200926-1550-80	e ^ { \int x ^ { 2 } d x }
TrainData2_6_sub_63	\frac { 1 } { a } F ( a x + b ) + C
KME1G3_1_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
200923-131-38	\frac { 4 } { 3 } \pi r ^ { 3 }
KME1G3_3_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
